order_id,order_date,store_id,customer_id,product_id,quantity,unit_price,discount_amount,payment_method,created_at,source_file
ORD-20260611-0001,2026-06-11,ST001,CUST00040,P2002,2,5.99,1.00,mobile_wallet,2026-06-11T11:40:06,sales_2026_06_11.csv
ORD-20260611-0002,2026-06-11,ST003,CUST00054,P1001,5,5.49,0.00,debit,2026-06-11T09:58:18,sales_2026_06_11.csv
ORD-20260611-0003,2026-06-11,ST003,CUST00062,P2002,2,5.99,1.00,cash,2026-06-11T15:53:10,sales_2026_06_11.csv
ORD-20260611-0004,2026-06-11,ST004,CUST00072,P3002,1,21.99,0.50,cash,2026-06-11T11:48:14,sales_2026_06_11.csv
ORD-20260611-0004,2026-06-11,ST003,CUST00075,P1002,4,7.99,0.00,mobile_wallet,2026-06-11T10:29:23,sales_2026_06_11.csv
ORD-20260611-0006,2026-06-11,ST005,CUST00042,P3002,1,21.99,2.00,gift_card,2026-06-11T22:01:39,sales_2026_06_11.csv
ORD-20260611-0007,2026-06-10,ST001,CUST00018,P2002,1,5.99,2.00,credit_card,2026-06-11T16:41:26,sales_2026_06_11.csv
ORD-20260611-0008,2026-06-11,ST005,CUST00018,P1001,3,5.49,0.50,mobile_wallet,2026-06-11T10:15:56,sales_2026_06_11.csv
ORD-20260611-0009,2026-06-10,ST001,CUST00063,P4002,3,4.49,2.00,gift_card,2026-06-11T11:56:26,sales_2026_06_11.csv
ORD-20260611-0010,2026-06-11,ST002,CUST00047,P4001,3,18.99,0.00,credit_card,2026-06-11T13:28:28,sales_2026_06_11.csv
ORD-20260611-0011,2026-06-11,ST002,CUST00016,P3002,5,21.99,2.00,mobile_wallet,2026-06-11T08:25:17,sales_2026_06_11.csv
ORD-20260611-0012,2026-06-11,ST002,CUST00017,P1002,2,7.99,2.00,gift_card,2026-06-11T08:50:21,sales_2026_06_11.csv
ORD-20260611-0013,2026-06-11,ST002,,P2002,1,5.99,1.00,debit,2026-06-11T13:52:55,sales_2026_06_11.csv
